City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shiqian,27.5225,108.2281,279.86,90,100,1.52,CN,1702329601
1,shakawe,-18.3667,21.85,296.58,62,39,2.56,BW,1702329601
2,margaret river,-33.95,115.0667,287.73,74,0,3.95,AU,1702329360
3,chonchi,-42.6128,-73.8092,286.71,94,100,2.02,CL,1702329414
4,blackmans bay,-43.0167,147.3167,287.22,89,21,0.45,AU,1702329603
5,talnakh,69.4865,88.3972,246.5,98,100,4.74,RU,1702329604
6,enoch,37.7733,-113.0244,287.12,20,0,4.12,US,1702329604
7,bethel,41.3712,-73.414,278.45,66,100,5.14,US,1702329605
8,yellowknife,62.456,-114.3525,249.44,77,75,1.03,CA,1702329309
9,udachny,66.4167,112.4,248.26,96,100,4.31,RU,1702329606
10,iqaluit,63.7506,-68.5145,258.0,72,100,4.12,CA,1702329606
11,bubaque,11.2833,-15.8333,301.17,64,0,6.19,GW,1702329500
12,sebastopol,44.6,33.5333,282.69,85,76,1.34,UA,1702329340
13,afaahiti,-17.75,-149.2833,301.08,78,94,10.32,PF,1702329607
14,pangody,65.85,74.4859,246.71,90,100,5.6,RU,1702329607
15,solleftea,63.1667,17.2667,269.07,98,100,0.95,SE,1702329608
16,portland,45.5234,-122.6762,285.27,93,100,2.06,US,1702329562
17,adamstown,-25.066,-130.1015,294.75,60,1,2.16,PN,1702329608
18,klyuchi,52.2667,79.1667,249.12,87,21,6.18,RU,1702329609
19,aasiaat,68.7098,-52.8699,271.91,76,100,5.03,GL,1702329609
20,sur,22.5667,59.5289,296.79,62,37,2.57,OM,1702329609
21,zhanaozen,43.3,52.8,264.22,89,76,9.83,KZ,1702329610
22,tuy hoa,13.0833,109.3,296.11,91,42,1.87,VN,1702329610
23,karaton,-6.3424,106.1045,296.28,91,81,2.02,ID,1702329611
24,edinburgh of the seven seas,-37.0676,-12.3116,286.67,89,100,9.45,SH,1702329611
25,fale old settlement,-9.3852,-171.2468,301.93,77,100,10.01,TK,1702329611
